Year,Month Number,Month,Utility,Owner,Units,Usage
2013,1,Jan,Passengers,Campus,PAX,3209356
2013,1,Jan,Gas,Commission,Therms,363205
2013,1,Jan,Gas,Tenant,Therms,49393
2013,1,Jan,Electricity,Commission,kWh,12904353
2013,1,Jan,Electricity,Tenant,kWh,14002156
2013,1,Jan,Water,Commission,Million Gallons,15.202352
2013,1,Jan,Water,Tenant,Million Gallons,15.834412
2013,2,Feb,Passengers,Campus,PAX,2968951
2013,2,Feb,Gas,Commission,Therms,317493
2013,2,Feb,Gas,Tenant,Therms,50573
2013,2,Feb,Electricity,Commission,kWh,11816401
2013,2,Feb,Electricity,Tenant,kWh,12631776
2013,2,Feb,Water,Commission,Million Gallons,14.1185
2013,2,Feb,Water,Tenant,Million Gallons,14.716152
2013,3,Mar,Passengers,Campus,PAX,3599968
2013,3,Mar,Gas,Commission,Therms,318680
2013,3,Mar,Gas,Tenant,Therms,44698
2013,3,Mar,Electricity,Commission,kWh,13769470
2013,3,Mar,Electricity,Tenant,kWh,13894596
2013,3,Mar,Water,Commission,Million Gallons,13.287472
2013,3,Mar,Water,Tenant,Million Gallons,15.550172
2013,4,Apr,Passengers,Campus,PAX,3609543
2013,4,Apr,Gas,Commission,Therms,270776.3624
2013,4,Apr,Gas,Tenant,Therms,43064.10784
2013,4,Apr,Electricity,Commission,kWh,13477167
2013,4,Apr,Electricity,Tenant,kWh,13548377
2013,4,Apr,Water,Commission,Million Gallons,15.80524
2013,4,Apr,Water,Tenant,Million Gallons,16.497888
2013,5,May,Passengers,Campus,PAX,3934899
2013,5,May,Gas,Commission,Therms,261633.5766
2013,5,May,Gas,Tenant,Therms,46866.52864
2013,5,May,Electricity,Commission,kWh,14525147
2013,5,May,Electricity,Tenant,kWh,13646478
2013,5,May,Water,Commission,Million Gallons,16.304904
2013,5,May,Water,Tenant,Million Gallons,15.809728
2013,6,Jun,Passengers,Campus,PAX,4155153
2013,6,Jun,Gas,Commission,Therms,225357.6126
2013,6,Jun,Gas,Tenant,Therms,43407.37054
2013,6,Jun,Electricity,Commission,kWh,13983776
2013,6,Jun,Electricity,Tenant,kWh,13648306
2013,6,Jun,Water,Commission,Million Gallons,18.87204
2013,6,Jun,Water,Tenant,Million Gallons,15.658632
2013,7,Jul,Passengers,Campus,PAX,4181115
2013,7,Jul,Gas,Commission,Therms,238209.25
2013,7,Jul,Gas,Tenant,Therms,41382.62
2013,7,Jul,Electricity,Commission,kWh,14510484.74
2013,7,Jul,Electricity,Tenant,kWh,14213208.26
2013,7,Jul,Water,Commission,Million Gallons,15.85386
2013,7,Jul,Water,Tenant,Million Gallons,15.856852
2013,8,Aug,Passengers,Campus,PAX,4351101
2013,8,Aug,Gas,Commission,Therms,231452.008
2013,8,Aug,Gas,Tenant,Therms,38495.65014
2013,8,Aug,Electricity,Commission,kWh,15376577
2013,8,Aug,Electricity,Tenant,kWh,13806793
2013,8,Aug,Water,Commission,Million Gallons,20.437604
2013,8,Aug,Water,Tenant,Million Gallons,16.991568
2013,9,Sep,Passengers,Campus,PAX,3785479
2013,9,Sep,Gas,Commission,Therms,198542.88
2013,9,Sep,Gas,Tenant,Therms,43981.96851
2013,9,Sep,Electricity,Commission,kWh,14474661
2013,9,Sep,Electricity,Tenant,kWh,13683284
2013,9,Sep,Water,Commission,Million Gallons,20.917072
2013,9,Sep,Water,Tenant,Million Gallons,16.959404
2013,10,Oct,Passengers,Campus,PAX,3926441
2013,10,Oct,Gas,Commission,Therms,264782
2013,10,Oct,Gas,Tenant,Therms,44849
2013,10,Oct,Electricity,Commission,kWh,14438314
2013,10,Oct,Electricity,Tenant,kWh,13933761
2013,10,Oct,Water,Commission,Million Gallons,15.912952
2013,10,Oct,Water,Tenant,Million Gallons,16.313132
2013,11,Nov,Passengers,Campus,PAX,3470482
2013,11,Nov,Gas,Commission,Therms,301372.3341
2013,11,Nov,Gas,Tenant,Therms,51129.43924
2013,11,Nov,Electricity,Commission,kWh,13632489
